Task,Date_Time,Minutes,Seconds,Milliseconds, Error
Task 1,25/02/2025 10:18,0,36,512,
Task 1,25/02/2025 14:39,0,26,951,
Task 1,25/02/2025 15:46,0,48,839,
Task 1,25/02/2025 17:07,0,25,174,
Task 1,25/02/2025 17:54,0,27,891,
Task 1,26/02/2025 18:52,0,32,223,
Task 1,27/02/2025 12:26,0,34,827,
Task 1,27/02/2025 15:03,0,27,114,
Task 1,27/02/2025 17:52,0,35,798,
Task 1,27/02/2025 20:25,0,34,361,
Task 1,27/02/2025 21:22,0,49,407,
Task 1,28/02/2025 09:31,0,27,535,
Task 1,28/02/2025 10:27,0,25,117,
Task 1,28/02/2025 10:49,0,29,721,
Task 1,28/02/2025 12:08,0,27,489,
Task 1,28/02/2025 12:37,0,37,844,
Task 1,28/02/2025 13:35,0,26,7,
Task 1,28/02/2025 16:45,0,27,301,
Task 1,28/02/2025 18:08,0,30,244,
Task 1,28/02/2025 18:35,0,39,765,
Task 1,28/02/2025 19:03,0,23,882,
,,,,,  
