Task,Date_Time,Minutes,Seconds,Milliseconds, Error,
Task 4,25/02/2025 10:41,0,54,61,,
Task 4,25/02/2025 14:31,0,46,549,,
Task 4,25/02/2025 15:25,1,34,188,,
Task 4,25/02/2025 16:54,1,24,216,,
Task 4,25/02/2025 18:08,0,40,936,,
Task 4,26/02/2025 19:05,0,33,381,,
Task 4,27/02/2025 12:14,1,0,891,,
Task 4,27/02/2025 14:53,1,28,946,,
Task 4,27/02/2025 17:42,1,1,186,,
Task 4,27/02/2025 20:41,0,45,489,,
Task 4,27/02/2025 21:37,0,56,315,,
Task 4,28/02/2025 09:24,0,39,529,,
Task 4,28/02/2025 10:19,0,36,418,,
Task 4,28/02/2025 10:41,1,25,386,,
Task 4,28/02/2025 12:25,0,49,402,,
Task 4,28/02/2025 12:56,0,29,356,,
Task 4,28/02/2025 13:29,0,58,578,,
Task 4,28/02/2025 16:35,0,48,480,,
Task 4,28/02/2025 17:57,1,36,473,,
Task 4,28/02/2025 18:42,0,30,695,,
Task 4,28/02/2025 19:11,0,36,236,,
,,,,,,
,,,,,,  
