Task,Date_Time,Minutes,Seconds,Milliseconds, Error
Task 2,25/02/2025 10:24,0,25,804,
Task 2,25/02/2025 14:22,2,18,400,
Task 2,25/02/2025 15:49,0,29,17,
Task 2,25/02/2025 17:11,0,41,336,
Task 2,25/02/2025 17:58,0,40,82,
Task 2,26/02/2025 18:57,1,9,108,
Task 2,27/02/2025 11:55,2,10,690,
Task 2,27/02/2025 15:08,0,49,558,
Task 2,27/02/2025 17:56,0,48,464,
Task 2,27/02/2025 20:30,1,4,371,
Task 2,27/02/2025 21:26,1,8,860,
Task 2,28/02/2025 09:12,1,10,484,
Task 2,28/02/2025 10:31,0,36,410,
Task 2,28/02/2025 10:53,1,25,575,
Task 2,28/02/2025 12:12,0,54,27,
Task 2,28/02/2025 12:43,0,32,637,
Task 2,28/02/2025 13:19,2,17,72,
Task 2,28/02/2025 16:49,0,41,483,
Task 2,28/02/2025 18:12,0,38,444,
Task 2,28/02/2025 18:37,0,52,209,
Task 2,28/02/2025 19:05,0,49,690,
